name,latitude,longitude,
K71,52.104061,4.317273,
K97,52.062739,4.344412,
K124,52.061415,4.282957,
K128,2.073777,4.296604,
K158,2.067337,4.328748,
K159,52.085032,4.283086,
K184,52.066086,4.224034,
K189,52.056135,4.311496,
K206,52.06133,4.316302,
K225,52.050428,4.299394,
K270,52.040316,4.279738,
K302,52.07783,4.335528,
K304,52.0841,4.326602,
K305,52.087943,4.321109,
K402,52.085985,4.315787,
K405,52.092652,4.31038,
K406,52.096577,4.306861,
K414,52.07218,4.333983,
K424,52.057587,4.249269,
K430,52.068691,4.276305,
K703,52.087862,4.280168,
K704,52.084932,4.2727,
K707,52.078994,4.261542,
K711,52.095735,4.286347,
'N14.1',52.074758,4.393630,
Oosteinde,52.079546,4.385927,
'N14.2',52.085097,4.379275,
'N14.3',52.101708,4.363654,
N211,52.013389,4.310846,