,22,51,52,82,111,112
0,88.0,30.0,10.0,98.0,47.0,37.0
1,90.0,30.0,9.0,97.5,46.0,35.0
2,93.0,32.0,11.0,103.0,47.5,37.0
3,95.0,32.0,10.0,96.5,48.0,37.5
4,98.0,34.0,11.0,99.5,49.0,40.0
5,109.0,33.0,11.0,103.0,52.0,46.0
6,109.0,32.0,12.0,114.0,57.0,52.0
7,96.0,33.0,13.0,120.0,55.0,50.0
8,98.0,35.0,14.0,118.0,58.0,48.0
9,97.0,34.0,12.0,115.0,56.0,52.0
10,97.0,31.0,12.0,112.0,63.0,57.0
11,98.5,30.0,10.0,115.0,65.0,61.0
12,103.5,30.5,11.0,110.0,65.0,64.0
13,103.0,31.0,11.0,109.0,69.0,63.0
14,104.0,32.0,11.0,106.0,72.0,71.0
15,105.5,33.0,12.5,115.0,74.5,78.0
16,108.0,30.0,11.0,116.0,75.0,82.0
17,101.0,31.0,12.0,111.0,75.0,83.0
18,97.0,29.0,11.0,115.0,73.0,79.0
19,97.0,29.0,9.0,111.0,71.0,77.0
20,88.0,25.0,7.0,99.0,65.0,63.0
21,81.0,24.0,6.0,90.0,58.0,52.0
22,78.0,23.0,6.0,80.0,52.0,40.0
23,69.0,21.0,5.0,77.0,45.0,36.0
24,71.0,24.0,6.0,73.0,43.0,32.0
25,65.0,21.0,5.0,68.0,43.0,27.0
26,66.0,21.0,4.0,67.0,38.0,27.0
27,62.0,18.0,3.0,61.0,34.0,24.0
28,54.0,15.0,3.0,60.0,33.0,18.0
29,48.0,14.0,3.0,55.0,30.0,18.0
30,48.0,13.0,2.0,54.0,27.0,14.0
31,46.0,13.0,2.0,50.0,25.0,14.0
32,44.0,12.0,2.0,50.0,27.0,14.0
33,39.0,13.0,2.0,46.0,27.0,14.0
34,39.0,11.0,2.0,48.0,26.0,14.0
35,40.0,12.0,2.0,44.0,25.0,13.0
36,36.5,10.5,1.0,44.0,24.0,12.0
37,32.0,9.0,1.0,38.0,24.0,12.0
38,27.0,8.0,1.0,33.0,22.0,11.0
39,24.0,6.0,1.0,33.0,19.0,9.0
40,20.0,5.0,1.0,24.5,14.0,6.0
41,19.0,4.0,0.0,23.0,13.0,5.0
42,17.0,4.0,0.0,21.0,10.0,3.0
43,13.0,3.0,0.0,20.0,9.0,3.0
44,12.0,2.0,0.0,15.0,7.0,2.0
45,10.0,2.0,0.0,13.0,5.0,2.0
46,10.0,2.0,0.0,12.0,4.0,2.0
47,8.0,2.0,0.0,10.0,4.0,1.0
48,7.0,2.0,0.0,9.0,3.0,1.0
49,6.0,1.0,0.0,8.0,3.0,1.0
50,6.0,1.0,0.0,7.0,3.0,1.0
51,6.0,1.0,0.0,7.0,2.0,0.0
52,5.0,1.0,0.0,6.0,2.0,0.0
53,4.0,1.0,0.0,5.0,1.0,0.0
54,3.0,1.0,0.0,5.0,1.0,0.0
55,3.0,0.0,0.0,5.0,1.0,0.0
56,2.0,1.0,0.0,5.0,1.0,0.0
57,2.0,0.0,0.0,4.0,1.0,0.0
58,2.0,1.0,0.0,3.0,1.0,0.0
59,2.0,1.0,0.0,3.0,1.0,0.0
60,3.0,1.0,0.0,2.0,1.0,0.0
61,4.0,1.0,0.0,3.0,1.0,0.0
62,4.0,2.0,0.0,4.0,2.0,1.0
63,6.0,2.0,0.0,5.0,2.0,0.0
64,8.0,5.0,1.0,5.0,2.0,1.0
65,8.0,7.0,1.0,8.0,4.0,1.0
66,12.0,13.0,1.0,12.0,4.0,1.0
67,14.0,12.0,2.0,13.0,6.0,2.0
68,21.0,22.0,4.0,18.0,9.0,3.0
69,34.5,31.0,8.0,27.0,16.0,6.0
70,43.0,41.0,12.0,40.0,20.0,9.5
71,46.0,45.5,14.5,42.5,22.0,9.0
72,54.5,54.0,24.0,55.0,27.0,14.5
73,72.0,61.0,34.0,72.5,33.0,20.0
74,95.0,70.0,48.0,90.0,32.0,25.0
75,105.0,64.0,51.0,95.0,35.0,26.0
76,129.0,65.0,54.0,106.0,41.0,34.0
77,109.0,67.0,66.0,131.0,39.0,33.0
78,112.0,69.0,61.0,119.0,40.0,31.0
79,97.0,58.0,40.0,106.0,38.0,28.0
80,84.0,46.0,25.5,96.5,37.0,28.0
81,85.0,42.0,19.0,92.0,38.0,28.5
82,86.0,39.0,14.0,94.0,41.0,30.0
83,79.0,34.0,13.0,88.0,41.0,29.0
84,79.0,30.0,10.0,86.0,42.0,29.0
85,82.0,34.0,11.0,91.0,43.0,30.0
86,83.0,33.0,11.5,93.5,45.0,32.5
87,85.0,31.0,10.0,86.5,44.0,32.0
88,80.0,28.0,8.0,82.0,42.0,30.0
89,90.0,33.5,11.0,93.0,44.0,32.0
90,88.0,32.0,10.0,97.0,46.0,35.0
91,85.0,32.0,11.0,93.0,45.0,35.0
92,89.0,33.0,12.0,95.0,48.0,37.0
93,86.5,33.0,11.0,99.0,48.0,38.0
94,91.0,31.0,10.0,101.0,49.0,39.0
95,89.0,32.0,10.0,103.5,51.0,40.5
96,88.5,31.0,11.0,98.0,48.0,37.0
97,91.0,32.0,10.0,96.5,49.5,39.0
98,96.5,33.0,11.5,106.0,48.5,39.0
99,94.0,33.0,11.0,101.5,51.5,39.0
100,100.0,34.0,11.0,95.0,50.0,41.0
101,107.5,33.0,12.0,104.5,52.5,45.0
102,105.0,33.0,13.0,115.0,58.0,50.0
103,97.0,33.0,12.0,119.0,57.0,50.5
104,92.0,37.0,15.0,116.0,59.0,53.0
105,100.5,35.0,13.0,116.5,58.0,53.5
106,99.0,32.0,12.5,117.0,62.0,56.5
107,97.0,31.0,12.0,122.0,65.0,62.0
108,106.0,33.0,12.0,111.0,66.0,66.0
109,105.0,33.0,13.0,108.0,70.0,67.0
110,104.0,33.0,13.0,109.5,73.0,73.0
111,108.5,33.0,13.0,121.5,75.5,79.0
112,108.0,31.0,12.0,124.0,77.0,82.0
113,111.0,33.0,14.0,119.0,75.0,83.0
114,105.0,30.0,12.0,116.0,73.0,79.0
115,104.0,29.0,11.0,114.0,71.0,75.0
116,94.0,29.0,9.0,105.0,66.0,66.0
117,83.0,26.0,8.0,95.0,63.0,55.0
118,86.0,25.0,8.0,91.0,57.0,48.0
119,77.0,24.0,7.0,83.5,49.5,40.0
120,77.0,24.0,7.0,76.0,50.0,37.0
121,70.0,24.0,6.0,71.0,45.0,32.0
122,67.0,22.0,6.0,68.0,39.0,26.0
123,62.0,18.0,4.0,66.0,36.0,24.0
124,57.0,17.0,4.0,59.0,34.0,20.0
125,53.0,15.0,3.0,60.5,31.5,18.0
126,50.0,14.0,2.0,55.0,30.0,16.0
127,50.0,14.0,2.0,55.0,29.0,15.0
128,46.0,14.0,2.0,57.0,28.0,15.0
129,44.0,13.0,2.0,51.0,31.0,16.0
130,41.0,12.0,2.0,49.0,29.0,17.0
131,41.0,12.0,2.0,48.0,30.0,18.0
132,40.5,13.0,2.0,49.5,28.0,14.0
133,36.0,11.0,2.0,42.0,28.0,16.0
134,32.0,10.0,1.0,37.0,26.0,13.0
135,31.0,9.0,1.0,37.0,22.0,11.0
136,24.0,7.0,1.0,29.0,19.0,8.0
137,22.0,5.0,1.0,28.0,16.0,7.0
138,19.0,4.0,0.0,24.0,12.0,4.0
139,15.0,4.0,0.0,20.0,11.0,4.0
140,13.5,3.0,0.0,18.0,7.5,2.0
141,11.0,3.0,0.0,14.0,7.0,2.0
142,10.0,2.0,0.0,12.0,6.0,2.0
143,9.0,2.0,0.0,11.0,5.0,2.0
144,7.0,2.0,0.0,11.0,4.0,2.0
145,7.0,1.0,0.0,8.0,3.0,1.0
146,7.0,1.0,0.0,8.0,3.0,1.0
147,6.0,1.0,0.0,7.0,2.0,1.0
148,5.0,1.0,0.0,6.0,2.0,0.0
149,4.0,1.0,0.0,6.0,2.0,0.0
150,4.0,0.0,0.0,5.0,1.0,0.0
151,3.0,0.0,0.0,5.0,1.0,0.0
152,3.0,1.0,0.0,5.0,1.0,0.0
153,2.0,0.0,0.0,4.0,1.0,0.0
154,3.0,1.0,0.0,4.0,1.0,0.0
155,3.0,1.0,0.0,3.0,1.0,0.0
156,3.0,1.0,0.0,2.0,1.0,0.0
157,4.0,1.0,0.0,3.0,1.0,0.0
158,6.0,1.0,0.0,4.0,2.0,0.0
159,7.0,2.0,0.0,5.0,1.0,0.0
160,7.0,5.0,1.0,8.0,2.0,1.0
161,8.0,7.0,1.0,9.0,3.0,1.0
162,13.0,12.0,1.0,11.0,4.0,1.0
163,14.0,11.0,1.0,14.0,6.0,2.0
164,23.0,21.0,3.0,18.0,10.0,4.0
165,36.0,29.0,6.0,25.0,17.0,6.0
166,43.0,37.0,10.0,38.0,20.0,10.0
167,43.5,42.0,13.0,41.0,21.0,9.0
168,52.0,47.5,20.0,49.0,26.5,14.0
169,67.0,55.0,29.0,67.0,32.0,20.0
170,95.0,61.0,40.0,83.5,33.5,25.0
171,107.0,62.0,44.0,95.0,36.0,27.0
172,123.0,61.0,47.0,102.5,41.0,33.5
173,102.0,65.0,57.0,126.0,40.0,35.0
174,105.0,64.0,57.0,116.0,40.0,32.0
175,94.0,55.0,35.0,103.0,39.0,32.0
176,89.0,45.0,23.0,98.0,37.0,27.0
177,82.0,43.0,19.0,96.0,40.0,29.0
178,87.0,39.0,17.0,99.0,44.0,33.0
179,81.0,34.0,13.0,92.0,42.0,31.0
180,79.0,33.0,12.0,87.0,42.0,30.0
181,83.0,33.5,10.5,93.5,44.0,32.5
182,87.0,32.0,12.0,98.0,45.0,33.0
183,85.0,32.0,10.0,90.0,47.0,35.0
184,84.0,29.0,10.0,87.0,42.5,32.0
185,93.0,33.0,11.0,92.0,49.5,37.0
186,99.0,33.0,12.0,98.5,49.5,40.5
187,110.0,35.0,13.0,100.5,53.0,42.0
188,107.0,34.0,15.0,116.5,52.0,42.0
189,97.0,35.0,13.0,123.5,53.0,48.0
190,99.0,38.0,17.0,116.0,56.0,50.0
191,92.5,42.0,19.0,114.0,53.5,44.5
192,97.0,36.0,14.0,108.0,51.0,43.0
193,99.0,36.0,13.0,106.0,49.0,39.0
194,99.0,36.0,14.0,110.0,53.0,43.0
195,98.0,35.0,13.0,107.0,52.0,42.0
196,95.5,34.0,13.0,106.0,51.0,42.5
197,101.5,35.0,12.0,104.5,52.0,44.0
198,101.0,34.0,12.0,111.0,54.0,48.0
199,100.5,33.0,12.0,110.5,56.5,50.5
200,102.0,33.0,12.0,115.0,58.0,51.0
201,102.0,34.0,13.0,117.0,58.0,57.0
202,102.5,32.0,12.0,121.5,65.0,61.0
203,105.0,33.0,13.0,124.0,67.0,63.0
204,103.0,33.0,13.0,122.0,66.0,66.0
205,104.0,34.0,12.0,116.0,69.0,66.0
206,102.0,35.0,14.0,115.0,72.0,70.0
207,108.0,34.0,14.0,125.0,75.0,79.0
208,109.0,33.0,13.0,121.0,73.0,82.0
209,107.0,33.0,13.0,115.0,74.0,78.0
210,103.0,29.0,11.0,116.0,73.0,75.0
211,98.0,30.0,10.0,113.0,70.0,73.0
212,93.0,26.0,9.0,106.0,65.0,63.5
213,86.0,24.5,7.5,92.0,57.0,52.0
214,84.0,24.0,7.0,84.5,56.0,45.5
215,73.0,23.0,6.0,78.0,49.0,39.0
216,73.5,23.0,7.0,77.5,50.0,36.0
217,70.0,23.5,6.0,72.5,43.5,32.0
218,66.5,22.0,5.0,70.0,41.0,29.0
219,57.0,19.0,4.0,65.0,36.0,23.0
220,57.0,16.5,4.0,61.0,34.0,20.0
221,53.0,16.0,3.0,58.0,31.0,18.5
222,49.5,15.0,3.0,54.0,30.0,17.0
223,47.0,14.0,3.0,55.0,29.0,17.0
224,45.0,14.0,3.0,55.0,31.0,17.0
225,43.0,14.0,2.0,51.5,30.0,17.0
226,46.0,13.0,3.0,50.5,29.0,16.0
227,44.0,14.0,2.0,52.0,27.0,15.5
228,42.5,13.5,2.5,48.0,28.0,15.0
229,34.0,12.0,2.0,42.0,28.0,15.5
230,32.5,12.0,1.5,41.0,27.0,13.0
231,29.5,8.0,1.0,38.0,24.0,12.0
232,24.0,7.0,1.0,30.0,20.0,9.0
233,21.0,6.0,0.0,29.0,18.0,7.0
234,19.5,5.0,0.0,24.0,14.0,6.0
235,16.0,4.0,0.0,20.0,12.0,5.0
236,13.0,3.0,0.0,18.0,9.0,3.0
237,13.0,3.0,0.0,15.0,7.0,2.0
238,12.0,2.0,0.0,14.0,6.0,2.0
239,9.0,2.0,0.0,13.0,5.0,2.0
240,9.0,2.0,0.0,10.0,4.0,1.0
241,8.0,1.0,0.0,9.0,3.0,1.0
242,7.0,1.0,0.0,9.0,3.0,1.0
243,7.0,1.0,0.0,7.0,3.0,1.0
244,6.0,1.0,0.0,7.0,2.0,0.0
245,4.0,1.0,0.0,6.0,2.0,1.0
246,4.0,1.0,0.0,6.0,1.0,0.0
247,3.0,1.0,0.0,5.0,1.0,0.0
248,3.0,0.0,0.0,6.0,1.0,0.0
249,3.0,0.0,0.0,4.0,1.0,1.0
250,3.0,1.0,0.0,4.0,1.0,1.0
251,3.0,1.0,0.0,3.0,1.0,0.0
252,4.0,1.0,0.0,3.0,1.0,0.0
253,3.0,1.0,0.0,3.0,1.0,0.0
254,6.0,2.0,0.0,5.0,2.0,0.0
255,6.0,2.0,0.0,5.0,2.0,0.0
256,7.0,5.0,1.0,5.0,2.0,1.0
257,9.0,8.0,1.0,8.0,3.0,1.0
258,13.0,12.0,1.0,10.0,3.0,1.0
259,14.0,12.0,1.0,13.0,6.0,2.0
260,21.0,22.0,3.0,16.0,10.0,3.0
261,35.0,31.0,7.0,23.0,15.0,6.0
262,43.0,40.0,12.0,36.0,20.0,9.0
263,45.0,44.0,15.0,40.0,20.0,10.0
264,56.0,52.0,21.0,50.0,24.0,15.0
265,66.0,59.0,33.0,69.0,33.0,21.0
266,95.5,65.0,46.0,88.0,35.0,25.0
267,107.0,64.0,50.0,98.0,38.0,30.0
268,124.0,63.0,54.0,106.0,40.0,35.0
269,104.0,69.0,64.0,129.0,40.0,33.0
270,115.0,69.0,64.0,117.0,38.0,30.0
271,97.5,62.0,42.0,104.5,37.0,29.0
272,87.0,48.5,26.0,96.0,38.0,29.0
273,87.0,43.0,20.0,92.0,38.0,27.0
274,88.0,39.0,17.0,101.0,42.0,32.0
275,79.0,36.0,13.0,88.5,42.0,29.0
276,78.5,32.0,11.5,91.0,38.0,28.0
277,83.0,35.0,13.0,93.0,44.0,33.0
278,84.0,33.0,13.0,95.0,46.0,34.0
279,86.0,32.0,10.0,91.0,46.0,33.0
280,83.0,27.0,9.0,83.0,42.0,32.0
281,91.0,33.0,11.0,94.5,46.0,34.0
282,89.5,34.0,13.0,98.0,46.5,36.0
283,91.0,33.0,11.0,96.0,51.0,38.0
284,90.0,34.0,12.0,97.0,50.0,38.0
285,91.0,34.0,11.0,100.0,50.0,39.0
286,95.0,33.0,12.0,102.0,51.0,41.0
287,90.0,32.0,11.0,103.0,50.0,40.5
288,89.0,32.0,11.0,99.5,50.5,41.0
289,94.0,35.0,12.0,100.0,50.0,40.0
290,98.0,34.0,11.0,107.0,49.0,41.0
291,99.0,36.0,11.0,103.5,51.5,41.0
292,103.5,33.0,12.0,102.0,52.0,43.0
293,109.5,35.0,13.0,105.0,55.5,50.0
294,112.0,35.0,15.0,118.0,57.0,52.0
295,99.0,34.0,14.0,124.0,59.0,52.0
296,99.0,39.0,16.0,122.0,56.0,55.0
297,98.0,35.0,14.0,125.0,59.0,55.0
298,101.0,33.0,13.0,119.0,62.0,58.0
299,100.0,32.0,13.0,118.0,66.0,64.0
300,104.0,33.0,12.0,116.0,65.0,62.0
301,107.0,35.0,13.0,110.0,68.0,67.0
302,106.0,33.0,13.0,115.0,73.0,72.0
303,107.5,32.5,13.0,122.5,73.5,77.0
304,114.0,33.0,13.0,126.0,76.0,85.0
305,110.0,34.0,14.0,122.0,74.0,81.0
306,103.0,33.0,12.0,122.0,72.0,80.0
307,106.0,31.0,12.0,119.0,72.0,77.0
308,94.0,28.0,10.0,109.0,68.0,67.0
309,86.0,26.0,8.0,95.0,61.0,56.0
310,84.0,25.0,7.0,91.0,55.0,49.0
311,77.0,24.0,7.0,87.0,53.0,43.0
312,81.0,24.0,7.0,82.0,52.0,41.0
313,75.0,24.0,6.0,76.0,47.0,34.0
314,70.0,22.0,6.0,73.0,44.0,30.0
315,66.0,19.0,4.0,71.0,38.0,28.0
316,61.0,18.0,3.0,65.0,37.0,22.0
317,57.0,15.0,3.0,56.0,34.0,21.0
318,54.0,15.0,3.0,57.0,32.0,19.0
319,54.0,14.0,3.0,57.0,28.0,17.0
320,54.0,15.0,3.0,55.0,32.0,18.0
321,48.0,14.0,3.0,55.0,30.0,18.0
322,48.0,14.0,2.0,51.0,29.0,16.0
323,45.0,14.0,2.0,52.0,30.0,17.0
324,43.0,13.0,2.0,56.0,28.0,15.0
325,39.0,12.0,2.0,47.0,30.0,17.0
326,36.0,11.0,2.0,45.0,28.0,16.0
327,32.0,10.0,1.5,44.0,25.5,13.0
328,27.0,7.0,1.0,32.0,23.0,11.0
329,26.5,6.0,1.0,31.5,20.0,9.0
330,23.0,5.0,1.0,28.0,16.0,7.0
331,19.0,5.0,0.0,25.0,13.0,5.5
332,16.0,4.0,0.0,20.0,10.0,4.0
333,15.0,3.0,0.0,18.0,8.0,3.0
