,22,51,52,82,111,112
334,14.0,3.0,0.0,15.5,7.0,2.0
335,12.0,3.0,0.0,14.0,6.5,3.0
336,9.0,2.0,0.0,13.0,5.0,2.0
337,9.0,2.0,0.0,11.0,4.0,2.0
338,8.5,2.0,0.0,9.0,4.0,1.0
339,7.0,1.0,0.0,8.0,3.0,1.0
340,7.0,1.0,0.0,8.0,3.0,1.0
341,6.0,1.0,0.0,7.5,2.0,1.0
342,6.0,1.0,0.0,7.0,2.0,1.0
343,4.0,1.0,0.0,7.0,2.0,0.5
344,4.0,1.0,0.0,7.0,1.0,1.0
345,4.0,1.0,0.0,6.0,1.0,1.0
346,5.0,1.0,0.0,4.0,2.0,0.0
347,5.0,1.0,0.0,4.0,1.0,1.0
348,5.0,1.0,0.0,4.0,1.0,0.0
349,5.0,1.0,0.0,4.0,2.0,1.0
350,8.0,2.0,0.0,5.0,2.0,0.0
351,7.0,2.0,0.0,6.0,2.0,1.0
352,8.5,4.0,1.0,8.0,2.0,1.0
353,10.0,6.0,1.0,9.0,4.0,1.0
354,14.0,9.5,1.0,11.0,4.0,1.0
355,14.0,10.0,1.0,13.0,6.0,3.0
356,21.5,20.0,3.0,16.0,9.0,3.0
357,33.0,24.0,5.0,22.0,15.0,6.0
358,41.0,29.0,8.0,31.0,18.0,8.5
359,40.0,35.0,11.0,38.0,19.0,8.0
360,49.5,42.5,17.0,44.0,25.0,13.0
361,63.5,52.5,26.0,57.5,31.0,18.0
362,84.0,57.0,36.0,79.0,35.0,23.0
363,97.5,58.0,41.5,89.5,34.0,25.0
364,117.5,59.0,45.0,99.0,39.0,34.0
365,102.0,62.0,53.5,120.0,41.0,36.0
366,112.0,65.0,51.0,115.5,39.0,32.0
367,93.0,55.0,34.0,106.5,37.0,30.0
368,87.0,45.0,22.0,99.0,38.0,29.0
369,85.5,41.0,18.0,93.0,41.0,30.0
370,90.0,39.0,17.5,102.0,43.0,35.0
371,83.0,36.0,13.0,97.0,45.0,34.0
372,86.0,35.0,13.0,96.0,41.5,31.0
373,86.5,34.5,14.0,99.5,43.0,33.0
374,90.0,38.0,14.0,103.0,46.0,36.0
375,93.5,35.0,13.0,101.5,48.5,38.0
376,87.0,31.0,12.0,96.0,43.0,35.0
377,96.0,34.5,13.0,104.5,47.0,39.5
378,99.5,35.0,14.0,107.5,50.0,41.0
379,100.0,33.0,14.0,108.0,50.0,41.0
380,98.0,35.0,15.0,111.0,53.5,46.0
381,99.0,34.0,13.0,114.0,52.0,45.0
382,98.0,36.0,13.0,117.0,54.0,45.0
383,98.0,36.0,14.0,116.0,55.0,46.0
384,97.5,34.0,13.0,110.0,52.5,46.0
385,102.0,38.0,14.0,112.0,53.0,45.0
386,105.0,36.0,15.0,113.0,53.0,46.0
387,105.0,38.0,15.0,113.0,54.0,47.0
388,110.0,34.0,15.0,111.0,55.0,48.0
389,116.0,38.0,16.0,115.0,56.0,52.0
390,122.0,38.0,18.0,122.0,60.0,56.0
391,103.0,41.0,17.0,130.0,61.0,57.0
392,105.0,39.0,20.0,130.0,61.0,57.0
393,105.0,39.0,16.0,126.0,62.0,57.0
394,107.0,35.0,15.0,121.0,62.0,60.0
395,107.0,35.0,14.0,121.0,66.0,63.0
396,106.0,37.0,14.0,118.0,65.0,64.0
397,106.0,34.0,14.0,114.0,66.0,63.0
398,109.0,36.0,15.0,113.5,66.0,63.5
399,105.0,35.0,15.0,120.0,69.0,70.0
400,110.0,34.0,14.0,120.0,70.0,71.0
401,108.0,35.0,13.0,117.0,69.0,69.0
402,103.0,33.5,13.0,112.0,69.0,70.0
403,101.0,33.5,12.0,108.5,67.5,67.0
404,94.0,29.0,10.0,107.0,60.5,59.0
405,88.0,27.0,9.0,92.0,57.0,50.0
406,86.0,27.0,8.0,87.0,52.0,44.0
407,79.0,23.0,7.0,81.0,49.0,38.0
408,78.0,23.0,8.0,79.0,46.0,33.0
409,73.5,23.0,6.0,75.5,40.0,29.0
410,69.0,20.0,6.0,72.0,40.0,27.0
411,68.0,18.0,5.0,68.0,36.0,24.0
412,62.0,17.0,4.0,65.0,34.0,20.0
413,58.0,14.0,3.0,59.0,31.0,19.0
414,59.0,14.0,3.0,59.0,29.0,17.0
415,53.5,14.0,3.0,58.0,29.0,16.0
416,53.0,14.0,3.0,58.0,29.0,15.5
417,51.0,13.0,2.0,52.0,28.0,16.0
418,50.0,13.0,3.0,55.0,26.0,13.0
419,49.0,13.0,2.0,52.0,27.0,14.0
420,48.0,12.0,3.0,61.5,25.5,13.0
421,46.0,13.0,2.0,54.0,27.0,14.0
422,45.0,12.0,2.0,51.0,26.0,14.0
423,42.0,10.0,2.0,54.0,25.0,13.0
424,38.0,10.0,2.0,47.0,23.0,12.0
425,36.0,10.0,2.0,47.0,25.0,13.0
426,35.0,8.0,1.0,39.0,21.0,9.0
427,31.0,8.0,1.0,41.0,19.0,9.0
428,29.0,7.0,1.0,36.0,17.0,7.0
429,24.0,6.0,1.0,33.0,15.0,6.0
430,23.0,5.0,1.0,29.0,14.0,5.0
431,21.0,5.0,1.0,28.0,13.0,4.0
432,20.0,5.0,1.0,26.0,11.0,4.0
433,18.0,4.0,1.0,25.0,9.0,4.0
434,17.0,4.0,0.0,21.0,8.0,3.0
435,15.0,3.0,0.0,20.0,7.0,3.0
436,15.0,4.0,0.0,18.0,7.0,2.0
437,14.0,3.0,0.0,16.0,6.0,2.0
438,13.0,2.0,0.0,14.0,5.0,2.0
439,11.0,2.0,0.0,14.5,5.0,1.5
440,10.0,2.0,0.0,16.0,4.0,2.0
441,10.0,2.0,0.0,12.0,4.0,2.0
442,10.0,2.0,0.0,10.0,4.0,2.0
443,9.0,2.0,0.0,9.0,3.0,1.0
444,8.0,2.0,0.0,9.0,3.0,1.0
445,10.0,2.0,0.0,9.0,2.0,1.0
446,11.0,1.5,0.0,8.0,3.0,1.0
447,10.0,2.0,0.0,9.0,3.0,1.0
448,9.5,2.0,0.0,9.0,3.0,1.0
449,8.5,3.0,0.0,7.0,3.0,1.0
450,12.0,4.0,0.0,9.0,3.0,1.0
451,9.0,3.0,0.0,9.0,3.5,1.0
452,11.0,5.0,0.0,8.0,5.0,1.0
453,18.0,6.0,0.0,10.0,9.0,2.0
454,21.0,8.0,0.0,13.0,9.0,3.0
455,18.0,10.0,1.0,15.0,9.0,3.0
456,20.0,10.0,1.0,16.0,11.0,4.0
457,27.5,12.0,1.0,18.5,11.0,4.0
458,32.0,15.0,2.5,25.0,14.0,6.0
459,30.0,14.0,2.0,26.5,13.0,6.0
460,32.5,17.0,3.0,32.5,15.5,7.0
461,38.0,21.0,4.0,40.0,20.5,10.0
462,46.0,22.0,5.0,47.5,24.0,13.0
463,45.0,23.0,6.0,54.0,24.0,14.0
464,52.0,25.0,6.0,56.0,25.0,15.0
465,58.0,28.0,7.0,66.0,28.0,16.0
466,68.0,29.5,9.0,77.0,34.5,22.0
467,63.5,29.5,8.0,77.5,33.5,23.0
468,72.0,29.5,9.0,79.5,35.0,24.0
469,77.5,30.0,9.0,88.0,40.5,27.0
470,81.0,32.0,11.0,94.0,43.0,31.0
471,80.0,29.5,10.0,90.5,41.0,31.0
472,80.0,31.0,11.0,87.0,42.0,29.0
473,90.0,33.0,12.0,94.5,46.0,33.0
474,95.0,33.5,11.0,97.0,46.0,37.0
475,88.0,33.0,12.0,99.0,46.0,37.0
476,95.5,33.0,11.5,104.5,50.0,37.5
477,94.5,37.0,14.0,104.0,48.0,35.0
478,98.0,34.0,12.0,104.0,48.0,35.0
479,98.0,34.0,13.0,106.0,49.0,36.0
480,100.0,36.0,13.0,103.0,47.0,38.0
481,100.0,36.5,14.0,101.5,49.0,37.0
482,103.0,37.5,14.0,103.5,49.0,38.0
483,101.0,34.0,13.0,106.0,49.0,39.0
484,102.5,33.0,12.0,105.5,48.5,38.0
485,103.0,35.0,13.0,107.0,51.0,40.0
486,106.0,32.0,12.0,106.0,54.0,42.0
487,105.0,32.0,12.0,110.0,53.0,43.0
488,105.0,32.0,11.0,111.0,53.0,42.5
489,101.0,32.5,12.0,107.5,52.5,41.5
490,106.0,31.0,11.0,108.0,53.5,43.0
491,104.0,31.0,11.0,110.0,53.5,42.0
492,102.5,29.5,11.0,107.0,50.0,40.5
493,100.0,30.0,10.0,101.5,50.5,40.5
494,101.5,29.0,10.0,103.5,52.0,40.5
495,94.0,30.0,10.0,105.0,51.0,40.5
496,97.0,28.0,10.0,105.5,52.0,41.0
497,93.0,28.0,9.0,100.0,51.0,39.0
498,87.0,27.0,8.0,93.0,49.0,37.0
499,87.0,26.0,7.0,93.0,48.0,36.0
500,80.0,23.0,6.0,87.0,45.0,33.0
501,79.5,20.5,5.5,78.0,41.0,30.0
502,73.0,19.0,5.0,80.0,39.0,27.0
503,68.0,19.0,5.0,72.5,35.0,24.0
504,70.0,19.0,5.0,70.0,34.0,22.0
505,66.0,19.0,5.0,66.5,34.5,22.0
506,62.0,19.0,5.0,69.5,34.0,21.0
507,60.0,17.0,4.0,65.0,34.0,19.0
508,59.0,16.0,4.0,62.0,32.0,20.0
509,58.0,15.0,3.0,58.0,31.0,18.0
510,54.5,14.0,3.0,57.0,29.5,16.0
511,51.0,14.0,3.0,55.5,30.0,17.0
512,50.0,13.0,2.0,57.0,29.0,16.0
513,49.5,13.0,3.0,53.0,29.0,15.0
514,49.0,13.0,3.0,53.5,28.0,14.0
515,48.0,13.0,2.0,54.0,27.5,14.0
516,52.0,13.0,2.0,61.5,26.5,14.0
517,44.0,13.0,3.0,59.0,26.0,14.0
518,45.0,13.0,3.0,55.5,26.0,14.0
519,43.0,12.0,2.0,54.5,27.5,14.0
520,40.0,10.0,2.0,48.0,24.0,12.0
521,39.0,9.0,2.0,49.0,24.0,12.0
522,37.0,9.0,2.0,46.5,22.0,10.0
523,33.0,8.0,1.0,44.5,21.5,10.0
524,32.0,8.0,1.0,41.0,19.0,8.0
525,29.0,7.0,1.0,37.0,17.0,7.0
526,27.0,6.0,1.0,35.0,16.0,6.5
527,27.0,6.0,1.0,32.0,16.0,6.0
528,22.5,5.0,1.0,31.0,13.0,5.0
529,21.5,5.0,1.0,28.0,11.0,4.0
530,19.0,5.0,1.0,25.0,9.5,3.0
531,17.0,4.0,0.0,21.0,9.0,3.0
532,15.0,3.0,0.0,20.0,8.0,3.0
533,15.0,3.0,0.0,19.0,7.0,2.0
534,13.5,3.0,0.0,18.0,6.0,2.0
535,11.0,2.0,0.0,16.0,6.0,2.0
536,10.0,2.0,0.0,18.0,5.0,2.0
537,9.0,2.0,0.0,12.0,5.0,2.0
538,9.0,2.0,0.0,11.0,5.0,2.0
539,8.5,2.0,0.0,11.0,4.0,2.0
540,7.0,1.5,0.0,11.0,3.0,1.0
541,8.0,1.0,0.0,8.0,3.0,1.0
542,8.0,2.0,0.0,8.0,3.0,1.0
543,7.0,2.0,0.0,7.0,3.0,1.0
544,6.0,2.0,0.0,7.0,3.0,1.0
545,7.0,2.0,0.0,6.0,3.0,1.0
546,8.0,3.0,0.0,5.0,2.0,1.0
547,6.5,3.0,0.0,5.0,3.0,1.0
548,7.0,3.0,0.0,5.0,4.0,1.0
549,11.0,4.0,0.0,6.0,5.5,1.0
550,15.0,5.0,0.0,8.0,7.0,2.0
551,11.0,6.0,0.0,9.0,5.5,1.0
552,11.0,5.0,0.0,8.0,6.0,2.0
553,11.0,6.0,0.0,8.5,5.0,1.0
554,14.0,6.5,0.0,10.0,6.0,2.0
555,13.0,8.0,1.0,13.0,6.0,2.0
556,16.0,9.0,1.0,14.5,7.5,3.0
557,21.0,10.0,1.0,15.0,9.0,4.0
558,25.0,12.5,1.5,20.0,11.0,4.0
559,23.5,13.0,2.0,22.0,12.0,5.0
560,31.0,16.0,2.0,28.0,16.0,7.0
561,40.0,20.0,4.0,41.0,18.0,8.0
562,45.5,23.0,5.0,44.5,23.5,13.0
563,41.0,21.0,4.0,45.0,24.0,11.0
564,51.0,22.0,5.0,46.0,26.0,13.0
565,53.0,22.0,5.5,51.5,26.5,15.0
566,61.5,24.0,6.0,58.0,31.0,18.0
567,61.0,23.0,6.0,62.0,32.0,18.0
568,59.0,23.0,6.0,60.0,34.0,19.0
569,70.0,25.0,7.0,66.0,37.0,24.0
570,76.0,26.0,7.0,72.0,41.5,28.0
571,71.5,27.0,8.0,77.5,42.0,28.0
572,77.0,27.0,7.5,79.5,42.5,27.0
573,80.0,29.0,8.0,83.0,43.0,28.0
574,84.0,29.0,9.0,89.0,45.0,28.5
575,85.5,28.0,8.0,87.0,46.5,30.0
576,89.5,29.5,9.0,85.0,47.0,32.0
577,90.5,31.0,10.5,88.0,46.0,30.0
578,94.0,31.0,10.0,88.0,47.0,32.0
579,92.0,29.0,9.0,94.0,47.0,32.0
580,98.0,28.0,9.0,93.0,47.0,32.0
581,92.0,28.5,9.0,91.0,48.0,32.0
582,95.5,27.5,8.0,96.0,48.0,35.5
583,93.0,26.0,8.5,99.5,46.0,34.5
584,94.0,27.0,8.0,102.0,47.0,36.0
585,89.0,27.0,8.0,101.0,49.0,36.0
586,91.5,26.5,8.0,103.5,49.0,36.0
587,87.0,26.0,7.5,106.0,48.0,36.5
588,90.0,26.0,8.0,100.5,48.0,34.0
589,90.0,26.0,7.5,102.0,47.0,34.0
590,87.0,25.0,7.0,102.0,48.0,35.0
591,85.0,24.0,8.0,105.0,47.0,34.0
592,86.0,24.0,7.0,103.0,47.0,33.5
593,79.0,23.0,7.0,91.5,46.0,34.0
594,79.0,22.0,6.0,86.0,45.0,32.5
595,76.0,22.0,5.0,86.0,42.0,29.0
596,74.0,19.0,5.0,81.0,40.0,29.0
597,69.0,19.0,5.0,76.0,37.0,26.0
598,62.0,19.0,4.0,72.5,35.0,22.0
599,57.5,18.0,4.0,69.0,32.0,20.5
600,58.5,18.0,3.5,68.0,32.0,20.0
601,56.5,18.0,4.0,61.0,31.5,19.5
602,54.0,17.0,4.0,64.5,32.0,19.0
603,52.0,17.0,3.0,63.0,32.0,20.0
604,50.0,16.0,3.5,58.5,32.0,18.0
605,49.0,16.0,3.0,58.0,30.0,19.0
606,46.0,15.0,3.0,55.0,30.0,16.5
607,42.0,13.5,2.5,56.0,28.5,15.0
608,40.0,12.5,2.0,52.5,28.0,15.0
609,39.0,12.0,2.5,47.0,27.0,14.0
610,35.0,11.0,2.0,43.5,25.0,12.0
611,35.0,10.0,2.0,44.0,23.0,12.0
612,36.0,12.0,2.0,49.0,23.0,10.0
613,28.5,9.0,1.0,38.0,21.0,9.5
614,29.0,8.0,1.0,38.0,19.0,8.0
615,25.0,6.0,1.0,34.0,17.0,7.0
616,22.0,5.0,0.5,26.0,13.0,5.5
617,18.0,4.0,0.0,24.0,12.0,5.0
618,16.5,4.0,0.0,22.0,10.0,4.0
619,16.0,4.0,0.0,21.0,10.0,4.0
620,13.0,3.0,0.0,19.0,7.0,3.0
621,12.0,2.0,0.0,16.0,6.0,2.0
622,11.0,2.0,0.0,14.0,5.0,2.0
623,9.5,2.0,0.0,11.0,4.0,2.0
624,8.0,2.0,0.0,10.0,3.0,2.0
625,7.0,1.5,0.0,9.0,3.0,1.0
626,7.0,1.0,0.0,9.0,2.0,1.0
627,6.0,1.0,0.0,7.0,2.0,1.0
628,5.0,1.0,0.0,6.0,1.0,0.0
629,4.0,1.0,0.0,6.0,2.0,0.0
630,3.0,1.0,0.0,5.0,1.0,0.0
631,3.0,1.0,0.0,6.0,1.0,0.0
632,3.0,1.0,0.0,6.0,1.0,0.0
633,2.0,0.0,0.0,3.5,1.0,0.0
634,3.0,1.0,0.0,4.0,1.0,0.0
635,2.0,1.0,0.0,3.0,1.0,0.0
636,3.0,1.0,0.0,2.0,1.0,0.0
637,4.0,1.0,0.0,4.0,1.0,0.0
638,6.0,2.0,0.0,4.0,2.0,0.0
639,7.0,2.0,0.0,4.0,2.0,1.0
640,7.5,4.0,1.0,6.0,2.0,1.0
641,9.0,7.5,1.0,8.0,3.0,1.0
642,13.0,12.0,1.0,12.0,4.0,1.0
643,12.0,12.0,1.0,13.0,6.5,3.0
644,23.0,21.0,3.0,15.0,10.0,3.0
645,37.0,32.0,7.0,26.0,15.0,6.0
646,44.0,40.0,11.0,36.0,20.0,9.0
647,44.0,44.0,14.0,42.0,19.0,8.5
648,56.0,49.5,20.5,53.0,25.0,14.5
649,67.0,58.0,31.0,70.0,31.0,18.0
650,93.0,64.0,42.0,87.0,33.0,24.0
651,102.5,62.0,48.0,92.0,33.0,25.0
652,120.0,60.0,49.0,105.0,40.0,33.0
653,103.0,63.0,56.0,124.0,36.0,32.0
654,108.0,67.0,61.0,115.0,38.0,30.0
655,87.0,58.0,37.0,103.0,37.0,28.0
656,84.0,46.0,22.0,92.0,38.0,27.0
657,78.0,38.0,17.0,89.0,38.0,27.0
658,81.0,35.0,14.0,91.0,41.0,29.0
659,74.0,31.0,11.0,85.0,39.0,28.0
660,74.0,28.0,9.0,85.0,37.0,27.0
661,77.0,31.0,10.0,90.0,39.0,29.0
662,78.0,30.0,10.0,92.0,42.0,30.0
663,80.0,30.0,9.0,83.0,41.0,29.0
664,75.0,27.0,9.0,83.0,40.0,29.0
665,84.5,29.0,9.0,87.5,41.0,29.0
666,85.0,30.0,9.0,91.0,44.0,33.0
667,84.0,30.0,10.0,89.5,45.0,33.0
668,83.5,32.0,10.0,92.0,47.5,35.5
669,86.0,30.0,10.0,95.5,47.0,35.0
670,86.0,29.0,10.0,99.0,47.0,36.0
671,85.0,32.0,10.0,101.0,48.0,36.0
